Periodo,Estado,Clave SIINAH,Tipo de sitio,Centro de trabajo,Tipo de visitantes,Nacionalidad,NÃºmero de visitas
01/01/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,25722
01/01/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,60638
01/01/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,1890
01/01/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,170664
01/01/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,387
01/01/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,15331
01/01/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,175
01/01/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,8237
01/01/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,50
01/01/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,25229
01/01/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,187
01/01/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,2107
01/01/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,2121
01/01/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,27662
01/01/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,96
01/01/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,673
01/01/1996,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,90
01/02/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,31818
01/02/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,85201
01/02/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,6523
01/02/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,152469
01/02/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,438
01/02/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,15916
01/02/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,138
01/02/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,11799
01/02/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,190
01/02/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,14793
01/02/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,144
01/02/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,3656
01/02/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,2110
01/02/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,28691
01/02/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,35
01/02/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,1143
01/02/1996,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,133
01/03/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,34543
01/03/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,97328
01/03/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,7540
01/03/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,265539
01/03/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,553
01/03/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,20324
01/03/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,87
01/03/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,13063
01/03/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,37
01/03/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,33325
01/03/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,267
01/03/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,7637
01/03/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,1210
01/03/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,20406
01/03/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,59
01/03/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,2963
01/03/1996,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,273
01/04/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,30627
01/04/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,66175
01/04/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,13416
01/04/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,329568
01/04/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,411
01/04/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,15916
01/04/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,91
01/04/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,11501
01/04/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,3
01/04/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,20788
01/04/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,212
01/04/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,7309
01/04/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,2193
01/04/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,32992
01/04/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,50
01/04/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,1798
01/04/1996,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,476
01/05/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,24324
01/05/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,44416
01/05/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,4377
01/05/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,141523
01/05/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,378
01/05/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,11866
01/05/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,75
01/05/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,8164
01/05/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,21
01/05/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,15673
01/05/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,84
01/05/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,3120
01/05/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,1304
01/05/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,18939
01/05/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,43
01/05/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,2575
01/05/1996,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,300
01/06/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,26010
01/06/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,50954
01/06/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,1001
01/06/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,42859
01/06/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,604
01/06/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,13681
01/06/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,76
01/06/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,5525
01/06/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,40
01/06/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,15863
01/06/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,110
01/06/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,4896
01/06/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,2016
01/06/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,27718
